Junctions	ADRENALGLAND1	ADRENALGLAND2	COLON1	COLON2	CORTEX1	CORTEX2	DUODENUM1	DUODENUM2	ESOPHAGUS1	ESOPHAGUS2	HEART1	HEART2	KIDNEY1	KIDNEY2	LIVER1	LIVER2	LUNG1	LUNG2	OVARY1	OVARY2	PANCREAS1	PANCREAS2	SKIN1	SKIN2	SPLEEN_1	SPLEEN_2	STOMACH1	STOMACH2	TESTIS1	TESTIS2	THYROIDGLAND1	THYROIDGLAND2
CGATENSMUST00000097776JUNC00181	0	1	0	0	10	8	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	3	0	0
CGATENSMUST00000088419JUNC00182	0	0	4	3	3	7	2	2	1	4	1	4	3	6	5	7	1	2	1	0	2	3	0	0	0	0	8	1	0	0	1	3
CGATENSMUST00000088419JUNC00183	1	0	4	7	9	11	0	1	0	3	0	3	5	6	4	5	5	3	1	1	2	3	0	2	0	0	11	6	0	0	4	4
CGATENSMUST00000088419JUNC00184	5	5	2	5	19	16	4	2	2	3	2	3	6	5	6	13	14	14	15	16	4	3	3	2	5	4	11	6	4	0	5	13
CGATENSMUST00000008999JUNC00185	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
CGATENSMUST00000177374JUNC00188	3	3	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CGATENSMUST00000175799JUNC00189	1	2	1	0	9	12	2	2	2	0	2	0	0	1	0	0	4	7	0	2	1	1	2	3	10	8	3	0	3	4	3	2
CGATENSMUST00000193338JUNC00190	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
CGATENSCAFT00000029499JUNC00191	0	0	8	12	0	0	3	1	6	6	6	6	4	5	2	2	2	1	0	0	4	1	1	3	0	0	14	11	0	1	14	9
CGATENSCAFT00000029499JUNC00192	0	0	9	7	0	0	5	2	13	6	13	6	3	3	0	1	2	6	0	0	1	4	9	6	0	0	10	14	1	0	6	10
