Junctions	Brain_13	Brain_26	Brain_39	Colon_20	Colon_33	Colon_7	Duodenum_17	Duodenum_30	Duodenum_4	Esophagus_12	Esophagus_25	Esophagus_38	Heart_24	Heart_37	Ileum_19	Ileum_32	Ileum_6	Jejunum_18	Jejunum_31	Jejunum_5	Kidney_21	Kidney_34	Kidney_8	Liver_15	Liver_28	Liver_2	Muscle_22	Muscle_35	Muscle_9	Pancreas_14	Pancreas_1	Pancreas_27	Stomach_16	Stomach_29	Stomach_3	Thymus_10	Thymus_23	Thymus_36
CGAMUSTENST00000360655JUNC00625	1	1	1	0	0	1	1	0	0	0	2	2	0	0	1	0	0	1	1	1	2	4	1	0	0	0	0	0	0	0	0	0	1	2	0	2	4	4
CGAMUSTENST00000533917JUNC00626	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000263377JUNC00628	10	9	17	5	9	13	9	13	13	7	5	14	5	5	5	1	11	8	12	11	4	4	8	1	1	0	2	1	0	0	0	0	3	1	6	36	18	28
CGAMUSTENST00000427067JUNC00631	1	2	1	1	0	0	1	0	0	5	5	13	0	1	0	0	0	0	0	0	10	13	14	3	1	1	1	0	2	0	0	0	3	0	0	2	0	0
CGAMUSTENST00000414461JUNC00632	6	6	5	0	0	3	3	0	0	1	4	2	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	1	1
CGAMUSTENST00000298942JUNC00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000047827JUNC00640	10	12	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000047827JUNC00641	10	8	13	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CGAMUSTENSCAFT00000047827JUNC00642	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000504942JUNC00645	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000504942JUNC00646	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000504942JUNC00647	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000504942JUNC00648	6	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000262231JUNC00649	13	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000028254JUNC00651	130	150	156	5	1	0	0	0	0	4	2	3	2	7	1	1	1	0	1	1	0	2	0	0	0	0	2	2	5	0	0	0	3	1	0	2	0	0
CGAMUSTENST00000462949JUNC00655	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0
CGAMUSTENST00000441453JUNC00657	0	0	0	0	0	0	0	0	0	18	26	23	3	3	0	0	0	0	0	0	0	0	0	1	0	0	19	20	27	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000393533JUNC00659	2	4	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CGAMUSTENST00000229634JUNC00663	17	16	22	1	2	0	1	0	1	0	2	1	0	0	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0
CGAMUSTENST00000542643JUNC00664	25	41	33	9	9	15	6	1	0	1	1	3	1	0	2	0	1	2	1	1	3	14	8	0	0	0	0	0	1	1	4	0	4	5	13	0	0	1
CGAMUSTENST00000542643JUNC00665	15	16	30	4	6	6	5	0	3	0	1	1	0	0	1	1	2	2	0	1	10	12	14	0	0	0	3	1	0	0	3	2	5	4	7	1	0	0
CGAMUSTENST00000542643JUNC00666	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
CGAMUSTENST00000370779JUNC00667	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0
CGAMUSTENST00000314425JUNC00668	14	11	13	1	0	4	0	0	0	6	3	1	3	2	1	4	2	3	3	2	1	5	0	1	0	2	1	1	3	0	0	0	1	2	0	2	5	6
CGAMUSTENST00000405592JUNC00670	8	9	6	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
CGAMUSTENSCAFT00000024094JUNC00673	17	24	27	1	1	0	0	0	0	1	1	1	1	2	1	0	0	0	0	0	1	0	1	0	0	0	8	4	12	0	0	0	0	2	0	0	0	0
CGAMUSTENSCAFT00000024094JUNC00674	20	21	21	1	1	0	0	1	0	1	1	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	17	4	12	0	0	0	2	0	1	0	0	0
CGAMUSTENSCAFT00000024094JUNC00675	24	23	23	0	1	0	1	0	2	1	0	1	4	2	1	0	1	0	1	0	2	2	1	0	0	0	0	3	2	0	0	0	1	0	1	2	0	1
CGAMUSTENSCAFT00000024094JUNC00676	13	26	36	0	0	1	1	1	1	0	0	0	2	2	0	0	1	3	1	0	0	2	2	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0
CGAMUSTENST00000322635JUNC00677	33	56	65	3	0	1	0	0	0	0	1	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	12	6	11	0	0	0	0	2	2	0	0	0
CGAMUSTENST00000438362JUNC00683	0	4	3	1	2	0	1	1	1	31	38	29	70	105	0	1	0	1	0	0	0	0	0	0	0	1	188	238	185	0	0	0	0	0	1	0	1	0
CGAMUSTENST00000393923JUNC00687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
