Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENST00000552285JUNC01852	185	79	83	76	67	71	162	108	64	62	82	33	85	138	130	101	120	84	15	113	113	131	76	97	56	103	129	117	96	112	103	96
CGACAFTENST00000552285JUNC01853	112	29	51	51	90	49	89	76	56	66	104	17	116	158	64	49	52	66	14	63	126	92	88	49	60	102	116	123	116	71	74	103
CGACAFTENST00000435406JUNC01857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000418909JUNC01858	16	1	5	3	1	4	5	6	0	1	5	1	2	3	4	0	2	4	0	6	2	1	3	0	3	5	4	3	5	0	0	2
CGACAFTENST00000551012JUNC01859	0	37	2	0	4	0	0	5	0	5	0	0	0	0	0	1	6	0	0	2	0	2	0	0	0	2	0	0	0	4	0	0
CGACAFTENSMUST00000101491JUNC01860	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000366730JUNC01862	444	70	501	295	231	234	496	279	261	356	395	239	913	373	567	433	164	289	50	590	1314	774	332	372	102	230	386	268	245	240	145	248
CGACAFTENST00000357345JUNC01863	0	0	213	98	76	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	0	2	0	0	0	11	0	4	0
CGACAFTENST00000357345JUNC01864	0	0	222	87	88	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	32	1	2	0	0	0	14	0	3	0
CGACAFTENST00000357345JUNC01865	1	0	9	25	31	0	1	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	11	0	3	0
CGACAFTENST00000357345JUNC01866	0	0	274	163	110	193	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	60	0	0	0	0	0	68	0	0	0
CGACAFTENST00000441778JUNC01869	33	0	7	1	0	7	13	2	2	2	4	0	5	4	4	0	21	5	0	0	1	2	0	2	0	18	0	0	2	9	0	0
CGACAFTENST00000454077JUNC01872	6	11	117	43	22	51	16	21	7	22	11	9	12	17	12	6	11	7	6	24	18	28	18	8	3	7	6	23	14	17	29	26
CGACAFTENST00000454077JUNC01873	34	67	232	90	58	116	57	78	34	60	59	24	43	67	28	16	55	49	9	110	73	114	66	29	12	46	53	49	44	62	88	99
CGACAFTENST00000379024JUNC01879	0	0	267	14	22	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	1	0	0	8	0	0	0
CGACAFTENST00000379024JUNC01880	0	0	276	13	27	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	3	0	0	9	0	0	0
CGACAFTENST00000379024JUNC01881	0	0	385	50	35	360	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	1	74	0	0	0	0	3	45	0	0	0
CGACAFTENSMUST00000110748JUNC01882	2	0	18	24	9	10	0	3	3	3	0	0	1	0	0	0	0	1	0	7	1	3	19	0	0	15	2	1	23	0	0	0
CGACAFTENST00000354866JUNC01883	20	17	7	15	3	6	42	40	17	25	47	2	27	69	4	0	7	27	2	49	80	70	16	6	3	25	46	67	16	29	5	65
CGACAFTENST00000547773JUNC01884	26	7	26	32	34	35	24	17	33	35	12	62	6	48	10	1	4	15	22	22	26	22	94	0	5	37	9	23	80	16	27	68
CGACAFTENSMUST00000118192JUNC01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
