Junctions	sum	species
CGACAFTENSMUST00000112294JUNC00271	338	dog
CGACAFTENST00000354695JUNC00272	2358	dog
CGACAFTENST00000593685JUNC00273	789	dog
CGACAFTENST00000597639JUNC00274	94	dog
CGACAFTENST00000295951JUNC00275	150	dog
CGACAFTENST00000428312JUNC00276	83	dog
CGACAFTENST00000449503JUNC00277	1101	dog
CGACAFTENST00000372123JUNC00278	3	dog
CGACAFTENSMUST00000164290JUNC00279	41	dog
CGACAFTENST00000379716JUNC00280	197	dog
CGACAFTENST00000379698JUNC00281	223	dog
CGACAFTENST00000408038JUNC00283	134	dog
CGACAFTENST00000393441JUNC00284	117	dog
CGACAFTENST00000348962JUNC00285	291	dog
CGACAFTENST00000257468JUNC00286	2763	dog
CGACAFTENST00000263280JUNC00287	2935	dog
CGACAFTENST00000269137JUNC00288	1660	dog
CGACAFTENSMUST00000040964JUNC00289	2	dog
CGACAFTENST00000351691JUNC00291	76	dog
CGACAFTENST00000355665JUNC00292	612	dog
CGACAFTENST00000579690JUNC00293	1876	dog
CGACAFTENST00000257414JUNC00294	72	dog
CGACAFTENST00000257414JUNC00295	82	dog
CGACAFTENSMUST00000076043JUNC00296	239	dog
CGACAFTENST00000444564JUNC00297	149	dog
CGACAFTENST00000359882JUNC00298	7	dog
CGACAFTENST00000355961JUNC00299	24	dog
CGACAFTENST00000361988JUNC00300	318	dog
CGACAFTENST00000418709JUNC00301	248	dog
CGACAFTENST00000392460JUNC00302	167	dog
CGACAFTENST00000440651JUNC00303	1881	dog
CGACAFTENST00000354600JUNC00304	3591	dog
CGACAFTENST00000369615JUNC00305	256	dog
CGACAFTENST00000301894JUNC00306	1239	dog
CGACAFTENST00000377551JUNC00307	629	dog
CGACAFTENST00000377551JUNC00308	40	dog
CGACAFTENST00000377559JUNC00309	100	dog
CGACAFTENST00000377559JUNC00310	598	dog
CGACAFTENST00000377559JUNC00311	255	dog
CGACAFTENST00000377559JUNC00312	945	dog
CGACAFTENST00000299259JUNC00313	1521	dog
CGACAFTENST00000558014JUNC00314	77	dog
CGACAFTENST00000536845JUNC00315	414	dog
CGACAFTENST00000558816JUNC00316	65	dog
CGACAFTENST00000354744JUNC00318	104	dog
CGACAFTENST00000448935JUNC00320	2	dog
CGACAFTENST00000381795JUNC00322	36	dog
CGACAFTENST00000320694JUNC00323	86	dog
CGACAFTENST00000336483JUNC00324	420	dog
CGACAFTENST00000367926JUNC00325	1873	dog
CGACAFTENST00000367924JUNC00326	775	dog
CGACAFTENST00000397624JUNC00327	81	dog
CGACAFTENSMUST00000110906JUNC00328	65	dog
CGACAFTENST00000342556JUNC00329	217	dog
CGACAFTENST00000535754JUNC00330	10	dog
CGACAFTENST00000442461JUNC00331	293	dog
CGACAFTENST00000506560JUNC00332	12	dog
CGACAFTENST00000311559JUNC00334	43	dog
CGACAFTENST00000473814JUNC00336	102	dog
CGACAFTENST00000345807JUNC00337	22671	dog
CGACAFTENST00000618262JUNC00338	807	dog
CGACAFTENST00000614484JUNC00339	150	dog
CGACAFTENST00000368694JUNC00341	3184	dog
CGACAFTENST00000614256JUNC00342	5	dog
CGACAFTENST00000398492JUNC00343	3518	dog
CGACAFTENSMUST00000107043JUNC00344	5	dog
CGACAFTENST00000532317JUNC00346	11550	dog
CGACAFTENST00000393346JUNC00347	1232	dog
CGACAFTENSMUST00000207225JUNC00348	2837	dog
CGACAFTENST00000354667JUNC00349	4870	dog
CGACAFTENSMUST00000069949JUNC00350	28195	dog
CGACAFTENSMUST00000069949JUNC00351	10987	dog
CGACAFTENST00000524176JUNC00352	19	dog
CGACAFTENST00000374026JUNC00355	84	dog
CGACAFTENSMUST00000114859JUNC00356	938	dog
CGACAFTENST00000347404JUNC00357	62	dog
CGACAFTENST00000400308JUNC00358	33	dog
CGACAFTENST00000400308JUNC00359	429	dog
CGACAFTENST00000515064JUNC00360	487	dog
CGACAFTENST00000515064JUNC00361	227	dog
CGACAFTENST00000441778JUNC00362	144	dog
CGACAFTENST00000502640JUNC00363	70	dog
CGACAFTENSMUST00000199256JUNC00364	77	dog
CGACAFTENST00000454077JUNC00365	628	dog
CGACAFTENST00000454077JUNC00366	2021	dog
CGACAFTENST00000313478JUNC00367	541	dog
CGACAFTENST00000392020JUNC00368	493	dog
CGACAFTENSMUST00000113190JUNC00370	180	dog
CGACAFTENSMUST00000113190JUNC00371	183	dog
CGACAFTENST00000378166JUNC00372	158	dog
CGACAFTENST00000378166JUNC00373	149	dog
CGACAFTENST00000368406JUNC00375	1	dog
CGACAFTENST00000469404JUNC00376	677	dog
CGACAFTENST00000371039JUNC00377	136	dog
CGACAFTENST00000371039JUNC00378	69	dog
CGACAFTENST00000371039JUNC00379	145	dog
CGACAFTENST00000371039JUNC00380	89	dog
CGACAFTENST00000371039JUNC00381	16	dog
CGACAFTENSMUST00000066824JUNC00382	32	dog
CGACAFTENSMUST00000072481JUNC00383	200	dog
CGACAFTENSMUST00000071268JUNC00385	526	dog
CGACAFTENST00000368533JUNC00386	15792	dog
CGACAFTENST00000368533JUNC00387	2399	dog
CGACAFTENST00000328159JUNC00388	336	dog
CGACAFTENST00000368530JUNC00390	5240	dog
CGACAFTENST00000611659JUNC00391	39	dog
CGACAFTENST00000425013JUNC00393	540	dog
CGACAFTENST00000372554JUNC00394	1103	dog
CGACAFTENST00000372554JUNC00395	898	dog
CGACAFTENST00000372554JUNC00396	1201	dog
CGACAFTENST00000372554JUNC00397	1520	dog
CGACAFTENSMUST00000113620JUNC00398	437	dog
CGACAFTENST00000373069JUNC00399	341	dog
CGACAFTENST00000373069JUNC00400	412	dog
CGACAFTENST00000373066JUNC00401	215	dog
CGACAFTENST00000373064JUNC00402	1005	dog
CGACAFTENST00000444354JUNC00403	424	dog
CGACAFTENST00000319770JUNC00404	2183	dog
CGACAFTENST00000355772JUNC00405	19	dog
CGACAFTENSMUST00000112428JUNC00406	530	dog
CGACAFTENST00000435881JUNC00408	5683	dog
CGACAFTENST00000346833JUNC00409	1928	dog
