junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
				CGACAFTENST00000370994JUNC00149	29470
				CGACAFTENST00000344384JUNC00151	37
				CGACAFTENST00000277575JUNC00152	11
				CGACAFTENSMUST00000042503JUNC00153	3
				CGACAFTENST00000406974JUNC00154	7
				CGACAFTENSMUST00000106228JUNC00155	2882
				CGACAFTENSMUST00000084781JUNC00158	3
				CGACAFTENST00000357250JUNC00159	121
				CGACAFTENST00000357250JUNC00160	170
				CGACAFTENST00000357250JUNC00161	386
				CGACAFTENST00000357250JUNC00162	498
				CGACAFTENST00000320755JUNC00163	76
				CGACAFTENST00000220429JUNC00164	430
				CGACAFTENSMUST00000110424JUNC00165	66
				CGACAFTENST00000265997JUNC00167	154
				CGACAFTENST00000265997JUNC00168	6
				CGACAFTENSMUST00000079754JUNC00169	80
				CGACAFTENSMUST00000079754JUNC00170	77
				CGACAFTENST00000222597JUNC00171	60
				CGACAFTENST00000621218JUNC00173	15751
				CGACAFTENST00000372397JUNC00174	10939
				CGACAFTENST00000368682JUNC00175	802
				CGACAFTENST00000368682JUNC00176	825
				CGACAFTENST00000295987JUNC00177	1151
				CGACAFTENST00000477726JUNC00178	10
				CGACAFTENSMUST00000056931JUNC00179	5723
				CGACAFTENSMUST00000056931JUNC00180	1921
				CGACAFTENST00000378312JUNC00181	42
				CGACAFTENST00000396688JUNC00182	614
				CGACAFTENSMUST00000113590JUNC00183	244
				CGACAFTENSMUST00000113590JUNC00184	14
				CGACAFTENST00000401867JUNC00185	1503
				CGACAFTENST00000401867JUNC00186	1848
				CGACAFTENST00000373836JUNC00187	310
				CGACAFTENSMUST00000084170JUNC00188	1
				CGACAFTENST00000373701JUNC00189	691
				CGACAFTENST00000623893JUNC00190	855
				CGACAFTENST00000353341JUNC00191	14506
				CGACAFTENST00000352301JUNC00192	3185
				CGACAFTENST00000533727JUNC00193	659
				CGACAFTENST00000534300JUNC00194	7
				CGACAFTENST00000440311JUNC00196	1
				CGACAFTENSMUST00000026416JUNC00197	426
				CGACAFTENSMUST00000026416JUNC00198	714
				CGACAFTENST00000315266JUNC00199	1020
				CGACAFTENST00000520220JUNC00200	669
				CGACAFTENST00000472644JUNC00201	640
				CGACAFTENST00000354558JUNC00202	13
				CGACAFTENSMUST00000046769JUNC00203	810
				CGACAFTENST00000355221JUNC00204	326
				CGACAFTENST00000361776JUNC00205	101
				CGACAFTENSMUST00000047645JUNC00206	70
				CGACAFTENST00000554684JUNC00207	1061
				CGACAFTENST00000540797JUNC00209	1
				CGACAFTENSMUST00000098613JUNC00210	6
				CGACAFTENST00000356728JUNC00212	243
				CGACAFTENSMUST00000063782JUNC00214	3
				CGACAFTENSMUST00000063782JUNC00215	603
				CGACAFTENST00000356644JUNC00218	381
				CGACAFTENST00000448447JUNC00219	90
				CGACAFTENST00000398376JUNC00220	814
				CGACAFTENST00000398376JUNC00221	937
				CGACAFTENST00000417353JUNC00223	3
				CGACAFTENSMUST00000208446JUNC00224	472
				CGACAFTENST00000370779JUNC00225	37
				CGACAFTENST00000354078JUNC00228	4
				CGACAFTENST00000349807JUNC00229	2
				CGACAFTENST00000618438JUNC00230	55
				CGACAFTENST00000345434JUNC00231	450
				CGACAFTENST00000345434JUNC00232	385
				CGACAFTENSMUST00000160629JUNC00234	334
				CGACAFTENST00000444053JUNC00235	1557
				CGACAFTENST00000630269JUNC00237	17
				CGACAFTENST00000272322JUNC00239	240
				CGACAFTENSMUST00000096127JUNC00240	1
				CGACAFTENST00000509773JUNC00244	684
				CGACAFTENSMUST00000103159JUNC00245	42
				CGACAFTENST00000336604JUNC00246	1538
				CGACAFTENST00000396840JUNC00247	599
				CGACAFTENST00000451813JUNC00249	181
				CGACAFTENST00000367380JUNC00250	42
				CGACAFTENST00000544496JUNC00251	2
				CGACAFTENST00000402711JUNC00252	61
				CGACAFTENSMUST00000096766JUNC00253	423
				CGACAFTENSMUST00000096766JUNC00254	423
				CGACAFTENST00000618166JUNC00256	63
				CGACAFTENST00000397138JUNC00257	23
				CGACAFTENSMUST00000080934JUNC00260	113
				CGACAFTENSMUST00000108191JUNC00261	43
				CGACAFTENST00000419354JUNC00262	1174
				CGACAFTENST00000419354JUNC00263	1749
				CGACAFTENST00000452595JUNC00264	164
				CGACAFTENST00000443183JUNC00265	320
				CGACAFTENST00000443183JUNC00266	294
				CGACAFTENST00000357674JUNC00267	991
				CGACAFTENSMUST00000115196JUNC00268	21
				CGACAFTENST00000545766JUNC00270	65
				CGACAFTENSMUST00000112294JUNC00271	338
				CGACAFTENST00000354695JUNC00272	2358
				CGACAFTENST00000593685JUNC00273	789
				CGACAFTENST00000597639JUNC00274	94
				CGACAFTENST00000295951JUNC00275	150
				CGACAFTENST00000428312JUNC00276	83
				CGACAFTENST00000449503JUNC00277	1101
				CGACAFTENST00000372123JUNC00278	3
				CGACAFTENSMUST00000164290JUNC00279	41
				CGACAFTENST00000379716JUNC00280	197
				CGACAFTENST00000379698JUNC00281	223
				CGACAFTENST00000408038JUNC00283	134
				CGACAFTENST00000393441JUNC00284	117
				CGACAFTENST00000348962JUNC00285	291
				CGACAFTENST00000257468JUNC00286	2763
				CGACAFTENST00000263280JUNC00287	2935
				CGACAFTENST00000269137JUNC00288	1660
				CGACAFTENSMUST00000040964JUNC00289	2
				CGACAFTENST00000351691JUNC00291	76
				CGACAFTENST00000355665JUNC00292	612
				CGACAFTENST00000579690JUNC00293	1876
				CGACAFTENST00000257414JUNC00294	72
				CGACAFTENST00000257414JUNC00295	82
				CGACAFTENSMUST00000076043JUNC00296	239
				CGACAFTENST00000444564JUNC00297	149
				CGACAFTENST00000359882JUNC00298	7
				CGACAFTENST00000355961JUNC00299	24
				CGACAFTENST00000361988JUNC00300	318
				CGACAFTENST00000418709JUNC00301	248
				CGACAFTENST00000392460JUNC00302	167
				CGACAFTENST00000440651JUNC00303	1881
				CGACAFTENST00000354600JUNC00304	3591
				CGACAFTENST00000369615JUNC00305	256
				CGACAFTENST00000301894JUNC00306	1239
				CGACAFTENST00000377551JUNC00307	629
				CGACAFTENST00000377551JUNC00308	40
				CGACAFTENST00000377559JUNC00309	100
				CGACAFTENST00000377559JUNC00310	598
				CGACAFTENST00000377559JUNC00311	255
				CGACAFTENST00000377559JUNC00312	945
				CGACAFTENST00000299259JUNC00313	1521
				CGACAFTENST00000558014JUNC00314	77
				CGACAFTENST00000536845JUNC00315	414
				CGACAFTENST00000558816JUNC00316	65
				CGACAFTENST00000354744JUNC00318	104
				CGACAFTENST00000448935JUNC00320	2
				CGACAFTENST00000381795JUNC00322	36
				CGACAFTENST00000320694JUNC00323	86
				CGACAFTENST00000336483JUNC00324	420
				CGACAFTENST00000367926JUNC00325	1873
				CGACAFTENST00000367924JUNC00326	775
				CGACAFTENST00000397624JUNC00327	81
				CGACAFTENSMUST00000110906JUNC00328	65
				CGACAFTENST00000342556JUNC00329	217
				CGACAFTENST00000535754JUNC00330	10
				CGACAFTENST00000442461JUNC00331	293
				CGACAFTENST00000506560JUNC00332	12
				CGACAFTENST00000311559JUNC00334	43
				CGACAFTENST00000473814JUNC00336	102
				CGACAFTENST00000345807JUNC00337	22671
				CGACAFTENST00000618262JUNC00338	807
				CGACAFTENST00000614484JUNC00339	150
				CGACAFTENST00000368694JUNC00341	3184
				CGACAFTENST00000614256JUNC00342	5
				CGACAFTENST00000398492JUNC00343	3518
				CGACAFTENSMUST00000107043JUNC00344	5
				CGACAFTENST00000532317JUNC00346	11550
				CGACAFTENST00000393346JUNC00347	1232
				CGACAFTENSMUST00000207225JUNC00348	2837
				CGACAFTENST00000354667JUNC00349	4870
				CGACAFTENSMUST00000069949JUNC00350	28195
				CGACAFTENSMUST00000069949JUNC00351	10987
				CGACAFTENST00000524176JUNC00352	19
				CGACAFTENST00000374026JUNC00355	84
				CGACAFTENSMUST00000114859JUNC00356	938
				CGACAFTENST00000347404JUNC00357	62
				CGACAFTENST00000400308JUNC00358	33
				CGACAFTENST00000400308JUNC00359	429
				CGACAFTENST00000515064JUNC00360	487
				CGACAFTENST00000515064JUNC00361	227
				CGACAFTENST00000441778JUNC00362	144
				CGACAFTENST00000502640JUNC00363	70
				CGACAFTENSMUST00000199256JUNC00364	77
