sum	species
617	hs
382	hs
492	hs
596	hs
709	hs
763	hs
678	hs
212	hs
32	hs
198	hs
228	hs
1901	hs
2085	hs
2018	hs
2320	hs
2633	hs
1787	hs
2595	hs
2486	hs
2358	hs
2535	hs
2392	hs
1687	hs
1358	hs
2940	hs
2721	hs
1706	hs
1743	hs
2531	hs
2997	hs
38	hs
548	hs
372	hs
439	hs
53	hs
14	hs
38	hs
2847	hs
6863	hs
8254	hs
4574	hs
4974	hs
7210	hs
5345	hs
2732	hs
2423	hs
1822	hs
127	hs
78	hs
1610	hs
2112	hs
1383	hs
5	hs
30	hs
26	hs
21	hs
20	hs
10	hs
21	hs
5103	hs
5821	hs
6200	hs
5448	hs
91	hs
180	hs
237	hs
21	hs
1723	hs
117	hs
126	hs
526	hs
424	hs
346	hs
80	hs
366	hs
429	hs
380	hs
669	hs
612	hs
676	hs
1036	hs
731	hs
640	hs
739	hs
145	hs
427	hs
437	hs
414	hs
431	hs
457	hs
409	hs
593	hs
479	hs
442	hs
583	hs
698	hs
588	hs
823	hs
731	hs
760	hs
685	hs
706	hs
749	hs
538	hs
1116	hs
1217	hs
1431	hs
1631	hs
1121	hs
82	hs
119	hs
338	hs
349	hs
309	hs
426	hs
480	hs
471	hs
187	hs
1172	hs
2058	hs
1809	hs
1998	hs
1564	hs
1648	hs
2201	hs
2205	hs
1896	hs
911	hs
81	hs
222	hs
110	hs
117	hs
333	hs
398	hs
50	hs
40	hs
48	hs
241	hs
22	hs
2	hs
128	hs
303	hs
200	hs
79	hs
42	hs
311	hs
375	hs
311	hs
160	hs
141	hs
12	hs
26	hs
170	hs
56	hs
3	hs
12	hs
7	hs
2	hs
13	hs
565	hs
859	hs
910	hs
673	hs
372	hs
170	hs
443	hs
2	hs
485	hs
10	hs
258	hs
424	hs
318	hs
346	hs
377	hs
93	hs
373	hs
245	hs
356	hs
328	hs
366	hs
351	hs
291	hs
768	hs
456	hs
415	hs
333	hs
205	hs
51	hs
573	hs
524	hs
10	hs
62	hs
114	hs
8	hs
5	hs
1460	hs
49	hs
1502	hs
2908	hs
133	hs
97	hs
120	hs
130	hs
188	hs
213	hs
168	hs
208	hs
50	hs
2	hs
1880	hs
1738	hs
1964	hs
62	hs
58	hs
59	hs
57	hs
47	hs
62	hs
58	hs
52	hs
58	hs
69	hs
71	hs
58	hs
117	hs
35	hs
38	hs
48	hs
635	hs
885	hs
656	hs
716	hs
825	hs
851	hs
758	hs
690	hs
646	hs
722	hs
1097	hs
724	hs
494	hs
417	hs
4	hs
327	hs
250	hs
255	hs
115	hs
79	hs
105	hs
143	hs
97	hs
13	hs
2	hs
26	hs
14	hs
450	hs
290	hs
289	hs
302	hs
313	hs
352	hs
354	hs
306	hs
269	hs
306	hs
7	hs
76	hs
156	hs
299	hs
573	hs
880	hs
868	hs
1004	hs
136	hs
850	hs
851	hs
930	hs
901	hs
719	hs
815	hs
809	hs
2211	hs
2737	hs
730	hs
3448	hs
3803	hs
2904	hs
3020	hs
2394	hs
2037	hs
450	hs
406	hs
363	hs
343	hs
343	hs
337	hs
342	hs
335	hs
424	hs
377	hs
409	hs
406	hs
416	hs
403	hs
389	hs
361	hs
518	hs
420	hs
8	hs
682	hs
806	hs
869	hs
1096	hs
1073	hs
1156	hs
592	hs
390	hs
1138	hs
1050	hs
1238	hs
1007	hs
875	hs
930	hs
747	hs
644	hs
774	hs
474	hs
1037	hs
505	hs
46	hs
597	hs
29	hs
270	hs
325	hs
379	hs
269	hs
336	hs
286	hs
27	hs
323	hs
306	hs
303	hs
319	hs
418	hs
356	hs
358	hs
356	hs
387	hs
360	hs
399	hs
341	hs
424	hs
405	hs
220	hs
251	hs
135	hs
241	hs
518	hs
491	hs
541	hs
524	hs
473	hs
647	hs
489	hs
463	hs
